"from","to","combined_score","target"
"9606.ENSP00000339467","9606.ENSP00000445929",196,"9606.ENSP00000339467"
"9606.ENSP00000216780","9606.ENSP00000445929",195,"9606.ENSP00000216780"
"9606.ENSP00000261622","9606.ENSP00000445929",195,"9606.ENSP00000261622"
"9606.ENSP00000336887","9606.ENSP00000445929",195,"9606.ENSP00000336887"
"9606.ENSP00000365016","9606.ENSP00000445929",195,"9606.ENSP00000365016"
"9606.ENSP00000384616","9606.ENSP00000445929",195,"9606.ENSP00000384616"
"9606.ENSP00000445929","9606.ENSP00000478887",195,"9606.ENSP00000478887"
"9606.ENSP00000264784","9606.ENSP00000445929",194,"9606.ENSP00000264784"
"9606.ENSP00000265605","9606.ENSP00000445929",194,"9606.ENSP00000265605"
"9606.ENSP00000281456","9606.ENSP00000445929",194,"9606.ENSP00000281456"
"9606.ENSP00000355938","9606.ENSP00000445929",194,"9606.ENSP00000355938"
"9606.ENSP00000358565","9606.ENSP00000445929",194,"9606.ENSP00000358565"
"9606.ENSP00000390265","9606.ENSP00000445929",194,"9606.ENSP00000390265"
"9606.ENSP00000416418","9606.ENSP00000445929",194,"9606.ENSP00000416418"
"9606.ENSP00000445929","9606.ENSP00000495332",194,"9606.ENSP00000495332"
"9606.ENSP00000222115","9606.ENSP00000445929",193,"9606.ENSP00000222115"
"9606.ENSP00000252711","9606.ENSP00000445929",193,"9606.ENSP00000252711"
"9606.ENSP00000264093","9606.ENSP00000445929",193,"9606.ENSP00000264093"
"9606.ENSP00000321424","9606.ENSP00000445929",193,"9606.ENSP00000321424"
"9606.ENSP00000445929","9606.ENSP00000448059",193,"9606.ENSP00000448059"
"9606.ENSP00000231706","9606.ENSP00000445929",192,"9606.ENSP00000231706"
"9606.ENSP00000269740","9606.ENSP00000445929",192,"9606.ENSP00000269740"
"9606.ENSP00000297689","9606.ENSP00000445929",192,"9606.ENSP00000297689"
"9606.ENSP00000321498","9606.ENSP00000445929",191,"9606.ENSP00000321498"
"9606.ENSP00000359892","9606.ENSP00000445929",191,"9606.ENSP00000359892"
"9606.ENSP00000380074","9606.ENSP00000445929",191,"9606.ENSP00000380074"
"9606.ENSP00000436607","9606.ENSP00000445929",191,"9606.ENSP00000436607"
"9606.ENSP00000254488","9606.ENSP00000445929",190,"9606.ENSP00000254488"
"9606.ENSP00000266376","9606.ENSP00000445929",190,"9606.ENSP00000266376"
"9606.ENSP00000283871","9606.ENSP00000445929",190,"9606.ENSP00000283871"
"9606.ENSP00000278379","9606.ENSP00000445929",189,"9606.ENSP00000278379"
"9606.ENSP00000329219","9606.ENSP00000445929",189,"9606.ENSP00000329219"
"9606.ENSP00000348461","9606.ENSP00000445929",189,"9606.ENSP00000348461"
"9606.ENSP00000409581","9606.ENSP00000445929",189,"9606.ENSP00000409581"
"9606.ENSP00000411506","9606.ENSP00000445929",189,"9606.ENSP00000411506"
"9606.ENSP00000445929","9606.ENSP00000496229",189,"9606.ENSP00000496229"
