"from","to","combined_score","target"
"9606.ENSP00000264828","9606.ENSP00000311905",267,"9606.ENSP00000264828"
"9606.ENSP00000311905","9606.ENSP00000446224",267,"9606.ENSP00000446224"
"9606.ENSP00000311905","9606.ENSP00000405969",266,"9606.ENSP00000405969"
"9606.ENSP00000200181","9606.ENSP00000311905",264,"9606.ENSP00000200181"
"9606.ENSP00000265171","9606.ENSP00000311905",263,"9606.ENSP00000265171"
"9606.ENSP00000311905","9606.ENSP00000325146",263,"9606.ENSP00000325146"
"9606.ENSP00000311905","9606.ENSP00000349790",263,"9606.ENSP00000349790"
"9606.ENSP00000307156","9606.ENSP00000311905",262,"9606.ENSP00000307156"
"9606.ENSP00000305714","9606.ENSP00000311905",261,"9606.ENSP00000305714"
"9606.ENSP00000311905","9606.ENSP00000335320",261,"9606.ENSP00000335320"
"9606.ENSP00000261681","9606.ENSP00000311905",260,"9606.ENSP00000261681"
"9606.ENSP00000311905","9606.ENSP00000337907",260,"9606.ENSP00000337907"
"9606.ENSP00000311905","9606.ENSP00000381430",260,"9606.ENSP00000381430"
"9606.ENSP00000253055","9606.ENSP00000311905",259,"9606.ENSP00000253055"
"9606.ENSP00000307297","9606.ENSP00000311905",259,"9606.ENSP00000307297"
"9606.ENSP00000311905","9606.ENSP00000330075",258,"9606.ENSP00000330075"
"9606.ENSP00000311905","9606.ENSP00000361097",258,"9606.ENSP00000361097"
"9606.ENSP00000222803","9606.ENSP00000311905",257,"9606.ENSP00000222803"
"9606.ENSP00000260702","9606.ENSP00000311905",257,"9606.ENSP00000260702"
"9606.ENSP00000301727","9606.ENSP00000311905",257,"9606.ENSP00000301727"
"9606.ENSP00000311905","9606.ENSP00000369071",257,"9606.ENSP00000369071"
"9606.ENSP00000311905","9606.ENSP00000317232",256,"9606.ENSP00000317232"
"9606.ENSP00000260356","9606.ENSP00000311905",255,"9606.ENSP00000260356"
"9606.ENSP00000029410","9606.ENSP00000311905",254,"9606.ENSP00000029410"
"9606.ENSP00000287598","9606.ENSP00000311905",254,"9606.ENSP00000287598"
"9606.ENSP00000302530","9606.ENSP00000311905",254,"9606.ENSP00000302530"
"9606.ENSP00000311905","9606.ENSP00000363840",254,"9606.ENSP00000363840"
"9606.ENSP00000311905","9606.ENSP00000370443",254,"9606.ENSP00000370443"
"9606.ENSP00000311905","9606.ENSP00000455068",254,"9606.ENSP00000455068"
"9606.ENSP00000311905","9606.ENSP00000312942",253,"9606.ENSP00000312942"
"9606.ENSP00000311905","9606.ENSP00000353452",253,"9606.ENSP00000353452"
"9606.ENSP00000311905","9606.ENSP00000331902",252,"9606.ENSP00000331902"
"9606.ENSP00000311905","9606.ENSP00000338343",252,"9606.ENSP00000338343"
"9606.ENSP00000311905","9606.ENSP00000397655",252,"9606.ENSP00000397655"
"9606.ENSP00000311905","9606.ENSP00000407552",251,"9606.ENSP00000407552"
"9606.ENSP00000240123","9606.ENSP00000311905",249,"9606.ENSP00000240123"
"9606.ENSP00000273398","9606.ENSP00000311905",249,"9606.ENSP00000273398"
"9606.ENSP00000311905","9606.ENSP00000380286",249,"9606.ENSP00000380286"
"9606.ENSP00000311905","9606.ENSP00000391596",248,"9606.ENSP00000391596"
"9606.ENSP00000311905","9606.ENSP00000403660",248,"9606.ENSP00000403660"
"9606.ENSP00000311905","9606.ENSP00000439244",248,"9606.ENSP00000439244"
