"from","to","combined_score","target"
"9606.ENSP00000296509","9606.ENSP00000446093",343,"9606.ENSP00000296509"
"9606.ENSP00000359305","9606.ENSP00000446093",341,"9606.ENSP00000359305"
"9606.ENSP00000271452","9606.ENSP00000446093",339,"9606.ENSP00000271452"
"9606.ENSP00000369784","9606.ENSP00000446093",339,"9606.ENSP00000369784"
"9606.ENSP00000261167","9606.ENSP00000446093",338,"9606.ENSP00000261167"
"9606.ENSP00000302830","9606.ENSP00000446093",338,"9606.ENSP00000302830"
"9606.ENSP00000313950","9606.ENSP00000446093",338,"9606.ENSP00000313950"
"9606.ENSP00000374183","9606.ENSP00000446093",337,"9606.ENSP00000374183"
"9606.ENSP00000318197","9606.ENSP00000446093",336,"9606.ENSP00000318197"
"9606.ENSP00000377298","9606.ENSP00000446093",336,"9606.ENSP00000377298"
"9606.ENSP00000446093","9606.ENSP00000481733",335,"9606.ENSP00000481733"
"9606.ENSP00000341947","9606.ENSP00000446093",333,"9606.ENSP00000341947"
"9606.ENSP00000335357","9606.ENSP00000446093",331,"9606.ENSP00000335357"
"9606.ENSP00000384015","9606.ENSP00000446093",331,"9606.ENSP00000384015"
"9606.ENSP00000446093","9606.ENSP00000479322",329,"9606.ENSP00000479322"
"9606.ENSP00000356379","9606.ENSP00000446093",328,"9606.ENSP00000356379"
"9606.ENSP00000427550","9606.ENSP00000446093",327,"9606.ENSP00000427550"
"9606.ENSP00000216181","9606.ENSP00000446093",326,"9606.ENSP00000216181"
"9606.ENSP00000416797","9606.ENSP00000446093",326,"9606.ENSP00000416797"
"9606.ENSP00000446093","9606.ENSP00000484525",325,"9606.ENSP00000484525"
"9606.ENSP00000339001","9606.ENSP00000446093",323,"9606.ENSP00000339001"
"9606.ENSP00000408910","9606.ENSP00000446093",323,"9606.ENSP00000408910"
"9606.ENSP00000267102","9606.ENSP00000446093",322,"9606.ENSP00000267102"
"9606.ENSP00000315299","9606.ENSP00000446093",322,"9606.ENSP00000315299"
"9606.ENSP00000358363","9606.ENSP00000446093",322,"9606.ENSP00000358363"
"9606.ENSP00000369689","9606.ENSP00000446093",322,"9606.ENSP00000369689"
"9606.ENSP00000319052","9606.ENSP00000446093",321,"9606.ENSP00000319052"
"9606.ENSP00000391594","9606.ENSP00000446093",321,"9606.ENSP00000391594"
"9606.ENSP00000420174","9606.ENSP00000446093",321,"9606.ENSP00000420174"
"9606.ENSP00000348107","9606.ENSP00000446093",320,"9606.ENSP00000348107"
"9606.ENSP00000324122","9606.ENSP00000446093",318,"9606.ENSP00000324122"
"9606.ENSP00000233121","9606.ENSP00000446093",317,"9606.ENSP00000233121"
"9606.ENSP00000361540","9606.ENSP00000446093",316,"9606.ENSP00000361540"
"9606.ENSP00000297431","9606.ENSP00000446093",315,"9606.ENSP00000297431"
"9606.ENSP00000446093","9606.ENSP00000482228",315,"9606.ENSP00000482228"
"9606.ENSP00000257904","9606.ENSP00000446093",314,"9606.ENSP00000257904"
"9606.ENSP00000377969","9606.ENSP00000446093",314,"9606.ENSP00000377969"
"9606.ENSP00000304903","9606.ENSP00000446093",313,"9606.ENSP00000304903"
"9606.ENSP00000446093","9606.ENSP00000468424",313,"9606.ENSP00000468424"
"9606.ENSP00000270861","9606.ENSP00000446093",311,"9606.ENSP00000270861"
"9606.ENSP00000334934","9606.ENSP00000446093",311,"9606.ENSP00000334934"
"9606.ENSP00000348965","9606.ENSP00000446093",311,"9606.ENSP00000348965"
