SPATA2
RAI1
CAMK2D
JAKMIP2
PLS1
MED24
GALNT1
TBR1
TLR2
ENTREP3
ENTREP3
CCT6B
PSCA
PIK3CA
RPS13
COCH
UBXN8
GIPC1
ZEB2
SLC9A8
GBP3
MTMR3
DPY19L1
TIMELESS
DLX3
RPS2
RPS2
ENDOU
PRPF4B
CALU
PHTF1
AP1S2
ARHGEF17
NUP58
SEC62
TNNI2
TNNI2
TATDN2
PLCD1
TESPA1
CAPS
PIK3CD
VPS8
RPS6KB1
PPP1R26
PLCB2
SERTAD2
ACOT11
RPS9
RPS9
RPS9
RPS9
RPS9
RPS9
RPS9
RPS9
RPS9
RPS9
CAV1
HACL1
IGLL1
SLC25A20
IL1RN
RPS28
FARP2
EHBP1
WDR7
SMG6
CAPZA2
MSTN
CHL1
USP13
CORIN
SMR3A
DYNC1I1
DMBT1
CALB1
CALCA
C2CD2L
MBD2
GIT2
CAD
RREB1
EIF2B2
EIF2B4
DNAJC6
NFAT5
TNNT3
TNNT3
CASP3
PIK3R2
CUL7
GBP1
TLR5
STAM
TAX1BP1
S100A7
RTN1
CLDN12
RPS6KB2
PLCG2
PMP2
RFPL3S
RPAP1
CARS1
CARS1
CAPG
RPS7
MBD4
GC
PLD2
TP73
TPD52
ACSL6
UPF2
GBX1
RANBP6
IL9
POLD3
PIN1
GAS6
RPS16
TOP2A
NSMF
UBXN7
BSN
CASP5
CEP170
CEP170
TNNT1
TRIM29
TNNT2
TSKU
GMEB1
MASP2
KCNN2
DNM3
SIX2
LRIG2
ANKRD17
PPP1R16B
ENTR1
GAPDH
RARA
STAG3
TMPO
CLEC3B
DLG2
ERC2
TLR3
RXRB
RXRB
RXRB
RXRB
RXRB
RXRB
RUNX1T1
DIO2
PI4KB
TOP3B
TNNI1
IPCEF1
RRM1
PLG
DNASE1L2
CASP7
TBC1D10B
RNASE2
RBBP9
CALD1
ZNF623
ZNF623
RPS4Y1
NR4A3
GIGYF2
PKNOX1
AGTPBP1
MSI1
LRIG1
ABCC9
FAM169A
RFPL3
CLDN16
CCNI
GORASP2
TMEM98
PLA2G5
TNNC1
CAMK2B
SNORD73A
SNORD73A
LRRTM2
PTDSS1
FCHSD2
RPS27
RXRA
TAS2R38
PPP1R11
PPP1R11
PPP1R11
PPP1R11
PPP1R11
PPP1R11
PPP1R11
PPP1R11
GAS8
PKP2
TLR1
TLN1
CAMK4
ZNF629
TM7SF2
SFI1
XRCC6
TSC22D2
GLRX3
ENTREP2
ENTREP2
CASP6
FOXK2
TRIM2
HIGD1A
NBN
PEX14
TLL2
IL4
CTSA
TM4SF5
MST1
UBR4
ZNF195
DLX6
RAB2A
FAM32A
DLAT
RTL8C
CCNA1
DNAJC13
MSX1
GAP43
PLRG1
NPM3
DMXL2
TPSD1
DUT
ZNF266
MTIF2
TTC3
SZT2
ZNF24
NUDC
MMD
LCMT2
RPS6KA1
RPS6KA1
TPSAB1
EIF2B5
PLS3
GCAT
ANKS1A
HMG20B
IFT81
ARHGAP11A
ARHGAP11A
SYNE1
ONECUT2
TTK
NR2C2
ILF2
PLOD2
GDI2
C2CD3
TENM4
TTC1
ZZZ3
AP4E1
S100A5
RFX2
ANGEL1
DMPK
TBC1D30
NEK3
PLAAT4
TUT4
ULK3
PHYHIP
TPH1
NUP214
KMT2D
E2F2
E2F2
USF2
UPP1
CCNDBP1
MSR1
RFPL2
AUTS2
MGAT4A
SAE1
MSH4
ZMYND11
COX17
POM121
SHOC2
ZNF28
CECR2
GGA1
RPS29
APC2
ECE1
C3AR1
GRHPR
CCR9
CABP1
ALDH1L1
CHST2
OPN1MW
PCBP2
IL2RA
H1-10
NPM2
TNFSF14
RYK
CBX5
SF3B2
PHLDA1
GBP2
AGL
CRISP2
ITGB3
H4C13
RARS1
LRRC32
BAZ1B
PLXNA2
L3MBTL1
NEDD4L
PTK6
COPG2
DPF3
POLG
PLK4
ASH2L
TMEFF1
TRAM1
PTPN14
GATA1
CANX
CANX
CBX6
USP24
RPGRIP1L
PSD3
IL1R1
DIAPH2-AS1
PMCHL2
PMCHL2
PMCHL2
PMCHL2
PMCHL2
NEK6
POLD2
DHFR
CHD1L
STX16
LSM14A
LSM14A
NBEA
CAV2
AXL
DNM1L
CLDN10
TUBA3C
WARS1
IL7
PRSS8
NPTXR
CAMK2G
RAB11FIP5
IRF9
IRF9
OVGP1
METTL1
MSX2
REV3L
EIF4G3
ZNF239
BUB3
THOC5
BRD3
COG1
WDR37
UVRAG
DNM1
STAG2
DHCR24
FJX1
DNAH5
POLE2
SCN11A
FNTB
ARPP19
CAPRIN1
USP22
ANGPTL1
TTC4
FARSB
AHCYL2
NEFH
RALA
CXCL8
E2F1
TTF1
EHF
DNAJC7
FARS2
TSPAN6
RPL10A
GJB2
AUP1
MSRA
MSRA
NR2E1
PHF24
EFCAB14
FAM114A2
CLDN1
PDHX
POLR2B
SLC22A8
DMP1
IL10RB
KIFC3
DGCR2
EIF2AK1
RMC1
TP53
POLR2A
POLR2A
CCK
FOSL1
WIPF1
COL16A1
PON1
ATF7
GPSM1
PAPOLA
NEDD9
DRG1
PYGO1
IREB2
AP1B1P1
KCND1
KCND1
RUSC2
GGCX
PRKY
DPF1
WDR4
KCNC4
KDM5D
ZNF121
INHBA
KIF13B
ATG7
NXPH4
CNPY3
CAPN2
WAS
ZBTB6
MRPL42
SERPINA6
SERPINA6
ODF2
OGFR
CHRNA6
WASHC4
SLC26A4
PRELP
MSH3
NELL1
UTRN
CDR2L
CXCL10
NEFL
NOD1
EPHX2
TMEM245
LRP8
TUBGCP2
F2RL3
FHL5
RRP8
COX10
ITGA2B
RPS21
KLHDC2
AKR7A3
SRGAP2
URB2
FAXDC2
NDUFA1
TSC22D1
TNFRSF11A
ATXN7
FGFR1OP2
ELL
SIN3B
PRKCH
SPECC1L
ANGPTL2
NFX1
IL10
DMRT1
TRIO
ZBTB24
ST3GAL2
SCN5A
CYLC2
ZBTB43
PKHD1
NSF
NSF
NSF
EIF4E
GAS1
AKAP12
GDF1
TMEM258
ALCAM
INPP1
SLC9A1
PKD1
EXOC3
RPS15
JADE3
MT-ND6
CLEC11A
SAMM50
CLDN15
ZNF536
ZNF518A
CNOT7
APLN
MAPRE2
DPH2
IL2RB
MLF1
ARMCX2
GAPVD1
TRAIP
FOSL2
RPL12
OGA
HSP90B1
STX6
OCRL
NBL1
GARS1
NEUROD2
UGT2B11
TNP2
CLDN2
ALKBH1
FPR2
GPR161
NME4
MT-ND4L
NEK1
RAD52
KHNYN
AP3M2
OR5H1
KIFBP
SIGLEC8
PKN2
SLC8A2
SPAG4
DNAJB1
SLC7A4
RORA
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
KIR3DL2
P2RX4
TOMM70
MACROH2A1
S100A9
GCKR
MAN1B1
TLR6
OR1C1
NEFM
XRCC4
PQBP1
PQBP1
MIR9-1HG
SCN7A
SEC13
SMUG1
CPSF6
SLC22A18AS
SLC22A18AS
IP6K1
STK24
SNORD57
CBFB
RSU1
LIM2
ESYT1
DLX2
SLC4A7
NPY
CELF1
UQCR10
IHH
TOP2B
PFN1
DLX4
PLAC1
ZNF234
KDM5B
SPAG7
GAB1
PAX4
TNF
TNF
TNF
TNF
TNF
TNF
TNF
TNF
CACNA1H
SARDH
COL4A5
FXR1
ELMO1
FRRS1L
CLK3
TPMT
BCL7A
MYH4
H3C1
GABPA
RTL8A
NCL
EIF4EBP1
SLC8A3
DNASE1L1
GLRA3
IL6
